127.0.0.1, 2019-08-16 19:28:26, GET, /admin/default/ticket/conacom/127.0.0.1.2019-08-16.19-28-24.44722db3-fda1-481e-b13a-37f5bc2dc7b2, HTTP/1.1, 200, 0.042309
127.0.0.1, 2019-08-16 19:28:26, GET, /favicon.ico, HTTP/1.1, 400, 0.000268
127.0.0.1, 2019-08-16 19:28:46, GET, /conacom/default/index, HTTP/1.1, 500, 0.027468
127.0.0.1, 2019-08-16 19:28:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000235
127.0.0.1, 2019-08-16 19:28:47, GET, /conacom/default/index, HTTP/1.1, 500, 0.027781
127.0.0.1, 2019-08-16 19:28:47, GET, /favicon.ico, HTTP/1.1, 400, 0.000227
127.0.0.1, 2019-08-16 19:28:48, GET, /admin/default/ticket/conacom/127.0.0.1.2019-08-16.19-28-47.9b5cccf7-8f6b-44ec-846e-134468bb6893, HTTP/1.1, 200, 0.021619
127.0.0.1, 2019-08-16 19:28:48, GET, /favicon.ico, HTTP/1.1, 400, 0.000215
127.0.0.1, 2019-08-16 19:29:13, GET, /, HTTP/1.1, 303, 0.000333
127.0.0.1, 2019-08-16 19:29:13, GET, /welcome/default/index, HTTP/1.1, 200, 0.014998
127.0.0.1, 2019-08-16 19:29:13, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.000265
127.0.0.1, 2019-08-16 19:29:13, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.000231
127.0.0.1, 2019-08-16 19:29:13, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.000228
127.0.0.1, 2019-08-16 19:29:13, GET, /welcome/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.006010
127.0.0.1, 2019-08-16 19:29:13, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.005883
127.0.0.1, 2019-08-16 19:29:13, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.006676
127.0.0.1, 2019-08-16 19:29:14, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.000325
127.0.0.1, 2019-08-16 19:29:14, GET, /welcome/static/js/bootstrap.bundle.min.js, HTTP/1.1, 200, 0.000323
127.0.0.1, 2019-08-16 19:29:14, GET, /welcome/static/js/web2py-bootstrap4.js, HTTP/1.1, 200, 0.000341
127.0.0.1, 2019-08-16 19:29:14, GET, /welcome/static/images/background.jpg, HTTP/1.1, 404, 0.000293
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/default/site, HTTP/1.1, 303, 0.003530
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/default/index, HTTP/1.1, 200, 0.025264
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/js/jquery.js, HTTP/1.1, 200, 0.000413
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/js/calendar.js, HTTP/1.1, 200, 0.000336
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/css/calendar.css, HTTP/1.1, 200, 0.000321
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/js/web2py.js, HTTP/1.1, 200, 0.000274
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.000596
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000588
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.000370
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/css/bootstrap.min.css, HTTP/1.1, 200, 0.000784
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.000406
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.000648
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/plugin_multiselect/start.js, HTTP/1.1, 200, 0.000292
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.000264
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/js/bootstrap.min.js, HTTP/1.1, 200, 0.000236
127.0.0.1, 2019-08-16 19:29:16, GET, /admin/static/_2.18.5/images/questions.png, HTTP/1.1, 200, 0.000328
127.0.0.1, 2019-08-16 19:29:16, GET, /favicon.ico, HTTP/1.1, 400, 0.000641
127.0.0.1, 2019-08-16 19:29:18, POST, /admin/default/index, HTTP/1.1, 303, 0.006580
127.0.0.1, 2019-08-16 19:29:18, GET, /admin/default/site, HTTP/1.1, 200, 0.020673
127.0.0.1, 2019-08-16 19:29:18, GET, /admin/static/_2.18.5/images/folder_locked.png, HTTP/1.1, 200, 0.000944
127.0.0.1, 2019-08-16 19:29:18, GET, /admin/static/_2.18.5/images/folder.png, HTTP/1.1, 200, 0.000581
127.0.0.1, 2019-08-16 19:29:18, GET, /admin/static/_2.18.5/images/glyphicons-halflings-white.png, HTTP/1.1, 200, 0.000361
127.0.0.1, 2019-08-16 19:29:19, POST, /admin/default/check_version, HTTP/1.1, 200, 1.212945
127.0.0.1, 2019-08-16 19:29:19, GET, /conacom/default/index, HTTP/1.1, 500, 0.025920
127.0.0.1, 2019-08-16 19:29:19, GET, /favicon.ico, HTTP/1.1, 400, 0.000303
127.0.0.1, 2019-08-16 19:29:21, GET, /admin/default/ticket/conacom/127.0.0.1.2019-08-16.19-29-19.fd8046bb-e940-4a40-8c81-30f169a33870, HTTP/1.1, 200, 0.025509
127.0.0.1, 2019-08-16 19:29:21, GET, /admin/static/_2.18.5/images/help.png, HTTP/1.1, 200, 0.000373
127.0.0.1, 2019-08-16 19:29:21, GET, /favicon.ico, HTTP/1.1, 400, 0.000223
127.0.0.1, 2019-08-16 19:29:38, GET, /admin/default/ticket/conacom/127.0.0.1.2019-08-16.19-29-19.fd8046bb-e940-4a40-8c81-30f169a33870, HTTP/1.1, 200, 0.026424
127.0.0.1, 2019-08-16 19:29:38, GET, /favicon.ico, HTTP/1.1, 400, 0.000222
127.0.0.1, 2019-08-16 19:29:40, GET, /conacom/default/index, HTTP/1.1, 500, 0.027334
127.0.0.1, 2019-08-16 19:29:40, GET, /favicon.ico, HTTP/1.1, 400, 0.000277
127.0.0.1, 2019-08-16 19:29:42, GET, /conacom/default/index, HTTP/1.1, 500, 0.052672
127.0.0.1, 2019-08-16 19:29:42, GET, /favicon.ico, HTTP/1.1, 400, 0.000405
127.0.0.1, 2019-08-16 19:29:46, GET, /admin/default/ticket/conacom/127.0.0.1.2019-08-16.19-29-42.2812e3ab-8b68-4bb4-bb55-11ecadb0df78, HTTP/1.1, 200, 0.020310
127.0.0.1, 2019-08-16 19:29:46, GET, /favicon.ico, HTTP/1.1, 400, 0.000247
127.0.0.1, 2019-08-16 19:30:23, GET, /admin/default/ticket/conacom/127.0.0.1.2019-08-16.19-29-42.2812e3ab-8b68-4bb4-bb55-11ecadb0df78, HTTP/1.1, 200, 0.024999
127.0.0.1, 2019-08-16 19:30:23, GET, /favicon.ico, HTTP/1.1, 400, 0.000217
127.0.0.1, 2019-08-16 19:30:25, GET, /conacom/default/index, HTTP/1.1, 200, 0.243746
127.0.0.1, 2019-08-16 19:30:25, GET, /conacom/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.000340
127.0.0.1, 2019-08-16 19:30:25, GET, /conacom/static/js/jquery.js, HTTP/1.1, 200, 0.000487
127.0.0.1, 2019-08-16 19:30:25, GET, /conacom/static/css/web2py-bootstrap4.css, HTTP/1.1, 200, 0.001761
127.0.0.1, 2019-08-16 19:30:25, GET, /conacom/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000633
127.0.0.1, 2019-08-16 19:30:25, GET, /conacom/static/css/calendar.css, HTTP/1.1, 200, 0.000326
127.0.0.1, 2019-08-16 19:30:25, GET, /conacom/static/js/calendar.js, HTTP/1.1, 200, 0.000274
127.0.0.1, 2019-08-16 19:30:25, GET, /conacom/static/css/jumbotron.css, HTTP/1.1, 404, 0.000269
127.0.0.1, 2019-08-16 19:30:25, GET, /conacom/static/js/web2py.js, HTTP/1.1, 200, 0.000279
127.0.0.1, 2019-08-16 19:30:25, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000310
127.0.0.1, 2019-08-16 19:30:25, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000428
127.0.0.1, 2019-08-16 19:30:25, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000335
127.0.0.1, 2019-08-16 19:30:25, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000436
127.0.0.1, 2019-08-16 19:30:25, GET, /favicon.ico, HTTP/1.1, 400, 0.000270
127.0.0.1, 2019-08-16 19:30:39, GET, /conacom/default/index, HTTP/1.1, 200, 0.105298
127.0.0.1, 2019-08-16 19:30:39, GET, /conacom/static/css/jumbotron.css, HTTP/1.1, 404, 0.000275
127.0.0.1, 2019-08-16 19:30:39, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000377
127.0.0.1, 2019-08-16 19:30:39, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000223
127.0.0.1, 2019-08-16 19:30:39, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000338
127.0.0.1, 2019-08-16 19:30:39, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000302
127.0.0.1, 2019-08-16 19:30:39, GET, /favicon.ico, HTTP/1.1, 400, 0.000262
127.0.0.1, 2019-08-16 19:30:58, POST, /conacom/default/index, HTTP/1.1, 200, 0.230057
127.0.0.1, 2019-08-16 19:30:58, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000243
127.0.0.1, 2019-08-16 19:30:58, GET, /dist/js/bootstrap.min.js, HTTP/1.1, 404, 0.000208
127.0.0.1, 2019-08-16 19:30:58, GET, /conacom/static/css/jumbotron.css, HTTP/1.1, 404, 0.001741
127.0.0.1, 2019-08-16 19:30:58, GET, /assets/js/vendor/popper.min.js, HTTP/1.1, 404, 0.000345
